mean,median,std,rms,min,max,range,skewness,kurtosis,zero_crossings,hjorth_activity,hjorth_mobility,hjorth_complexity,q25,q75,iqr
1.516488577772176e-07,5.427185686175296e-07,1.2989882885146402e-05,1.2990768058351461e-05,-9.449947809881637e-05,7.100281831782834e-05,0.00016550229641664472,-0.5260168223309294,7.9239462773558635,440,1.6873705736981943e-10,0.2961525361365374,3.0823938970552796,-6.450330507416292e-06,7.323321187961116e-06,1.3773651695377408e-05
2.754685296007644e-07,1.3663332564101186e-06,1.5021482571302517e-05,1.5024008171947515e-05,-6.92572145697116e-05,5.2615691029352884e-05,0.00012187290559906449,-0.6746515457302994,2.0430933414219314,336,2.256449386399453e-10,0.268862156987678,3.066262387975772,-7.577815035407667e-06,9.633325335250304e-06,1.721114037065797e-05
5.757309381471323e-09,5.423735589986036e-07,1.3276893021068814e-05,1.3276894269350687e-05,-7.527819106742143e-05,4.951308765663573e-05,0.00012479127872405715,-0.6025332969282398,2.8639986674078157,416,1.7627588829290578e-10,0.30552597467165127,2.742122378485261,-7.167690952781672e-06,7.872422645849503e-06,1.5040113598631175e-05
-1.0844585812160765e-07,2.4870351924660465e-07,1.7185868251272175e-05,1.7186210404106797e-05,-7.383091736691232e-05,6.387503020238932e-05,0.00013770594756930163,-0.2723256551710271,1.5334896668778537,321,2.9535406755008495e-10,0.26368516197460173,2.9523104263879776,-1.0005529986552193e-05,1.0547765799122524e-05,2.055329578567472e-05
4.070726645608779e-08,-6.631302293852142e-08,1.628087724290263e-05,1.6280928133248642e-05,-7.121947726886517e-05,6.631007715443678e-05,0.00013752955442330195,-0.0012123317476943924,2.2991630940746086,344,2.650669637984648e-10,0.26406287699086917,3.038680200854477,-8.896669827162722e-06,8.74683365655512e-06,1.7643503483717842e-05
-2.38545988302952e-07,1.8146107397176618e-07,1.498390305371643e-05,1.4985801777406106e-05,-7.408352998281049e-05,4.7829075807914774e-05,0.00012191260579072526,-0.4043677934465577,1.0085506872758714,346,2.2451735072317255e-10,0.2696539324517103,3.000625307236443,-9.068596720553871e-06,9.358498469736849e-06,1.842709519029072e-05
-2.8086581813056496e-07,-2.0026288352494067e-07,1.7237310744255558e-05,1.723959881499051e-05,-6.595005658304624e-05,6.863593293390344e-05,0.00013458598951694966,-0.12057824366911941,0.4039860529546151,348,2.971248816940281e-10,0.2820856590379057,2.561581041244555,-1.0665951292468127e-05,1.084984574728168e-05,2.1515797039749806e-05
-2.0227591940627353e-07,-5.200470338462038e-07,2.1554402894556612e-05,2.155535199639389e-05,-6.600791720931334e-05,8.205954877092292e-05,0.00014806746598023627,0.028015632488421288,0.5724944130544887,247,4.645922841408704e-10,0.20102291155002588,3.6647063758037786,-1.2477716677326206e-05,1.3167332885437925e-05,2.5645049562764133e-05
-6.164284745138782e-07,-1.2528138415824726e-06,2.272233128092957e-05,2.273069121044281e-05,-8.721071437868495e-05,8.734568659354988e-05,0.00017455640097223483,0.4856501842849868,1.6328480496624485,301,5.163043388403104e-10,0.19213913759263468,3.911353336496244,-1.3676761758139497e-05,1.0974919466487801e-05,2.4651681224627298e-05
-7.267624787181984e-07,-2.413459626641971e-06,3.360590568432879e-05,3.361376326096908e-05,-0.00011707130062076502,0.00011503195557478436,0.00023210325619554936,0.5591173206310814,1.6987757931000829,192,1.1293568968640021e-09,0.14135904914294237,5.174175658735753,-2.1345279243047877e-05,1.5271598216395538e-05,3.661687745944342e-05
-2.7752634958192492e-08,-3.789379006272504e-06,3.399311111432976e-05,3.3993122443222483e-05,-8.61741406649953e-05,0.00013702033326752443,0.0002231944739325197,0.9953304105318757,1.6623969635578932,173,1.1555316032311692e-09,0.13561954919357547,5.340856729588355,-2.2827279374969858e-05,1.614633606024783e-05,3.897361543521769e-05
-7.999159313299293e-08,-7.733869441547068e-07,2.8721413610251434e-05,2.8721525001749266e-05,-9.218179193133602e-05,0.00012572194435867207,0.0002179037362900081,0.7582932518899355,3.1066092201338034,199,8.249195997711362e-10,0.14269051389173082,5.106052732151345,-1.7147323806115524e-05,1.5746678185499486e-05,3.289400199161501e-05
-3.384178648319526e-07,-4.185006523942146e-06,3.8559631136492116e-05,3.8561116166853486e-05,-9.466067482327994e-05,0.0001291157671548054,0.00022377644197808534,1.1147256808527353,2.2676790832453406,211,1.4868451533823322e-09,0.12193873936364277,5.69132955576069,-2.261359133890742e-05,1.4176051844518224e-05,3.6789643183425644e-05
-1.0570656113560844e-08,-4.942460250676043e-06,4.0367201185181194e-05,4.0367202569210377e-05,-8.769075944880649e-05,0.00013383269135841918,0.00022152345080722567,1.2436393802835637,2.0678758060396403,158,1.629510931524894e-09,0.09709387862288768,7.60105559523604,-2.6463090530639287e-05,1.466484382342198e-05,4.1127934354061265e-05
-2.2768463101756226e-08,-5.9696380744131135e-06,4.1022319888377514e-05,4.102232620692402e-05,-0.00010641684804503507,0.0001305474445466522,0.00023696429259168728,0.796029932880755,1.0771030733246594,138,1.6828307290243736e-09,0.10617672459022634,6.620871043685384,-2.6289166106911183e-05,1.9235896074506132e-05,4.552506218141732e-05
